Studie;Scopus;WoS;EBSCO
Kleimeier & Viehs (2021);ja;ja;ja
Kozak (2021);—;ja;—
Piechocka-Kałużna et al (2021);—;—;—
Pizzutilo et al (2020);ja;—;ja
Zheng (2021);—;—;—
Wu et al (2020);—;—;—
Luo et al (2019);—;ja;—
Ben Slimane et al (2019);—;—;—
Ng & Rezaee (unknown);—;—;—
Kumar & Firoz (2018);—;—;—
Ratajczak & Mikolajewicz (2021);ja;ja;ja
Caragnano et al (2020);ja;ja;—
Erragragui (2018);—;ja;—
Ould Daoud Ellili (2020);—;—;—
Polbennikov et al (2016);—;—;ja
Johnson (2020);—;—;—
Apergis et al (2022);ja;ja;—
Bhattacharya & Sharma (2019);—;—;—
Zhang et al (2023);ja;ja;—
Panjwani et al (2023);ja;ja;ja
Trinh et al (2024);ja;ja;—
Altavilla et al (2024);—;—;—
Li & Qiu (2026);ja;ja;ja
Boermans et al (2023);—;—;—
D'Arcangelo et al (2025);ja;ja;—
Al-Fakir Al Rabab'a et al (2023);—;—;—
Safiullah et al (2025);ja;ja;—
Hu et al (2024);ja;ja;ja
Lin et al (2025);ja;ja;—
Ho & Wong (2023);ja;ja;ja
Hansen & Marcet (2025);—;—;—
Duong et al (2025);ja;ja;ja
Kim & Pouget (2026);ja;ja;ja
Okimoto & Takaoka (2024);ja;ja;ja
Zhou et al (2024);—;—;—
Dumrose & Höck (2023);ja;ja;—
Cicchini et al (2026);ja;ja;ja
Tan et al (2026);ja;ja;—
Wang et al (2025a);ja;ja;ja
Yang et al (2024);ja;ja;—
Ehlers et al (2021);—;—;—
Ririmasse et al (2026);ja;ja;ja
Gonzales Sanches et al (2026);—;—;—
Almutairi (2026);ja;ja;ja
Attig et al (2025);ja;ja;ja
Boubaker et al (2026);ja;ja;—
Wang et al (2025b);ja;ja;ja
Shi et al (2025);ja;ja;—
Ma et al (2022);—;—;—
Tang et al (2023);ja;ja;—
Brinette et al (2026);—;—;—
Xiang & Gong (2026);—;ja;—
Ali et al (2023);ja;ja;ja
Liu et al (2023);ja;ja;ja
Ali et al (2026);ja;ja;ja
Mahmoudian et al (2023);ja;ja;ja
Wang & Wijethilake (2026);ja;ja;ja
Owolabi et al (2024);ja;ja;ja
Borsuk & Shrimali (2026);ja;ja;ja
Nasih et al (2024);ja;ja;—
Maaloul & Wegener (2022);ja;—;—
