study;n_rows;segment;country;industry;regulation
Al-Fakir Al Rabab'a et al (2023);56;update;;;
Ali et al (2023);10;update;;;
Ali et al (2026);9;update;;;
Almutairi (2026);16;update;;;
Altavilla et al (2024);82;update;;;
Apergis et al (2022);2;rescreen;;;
Attig et al (2025);16;update;;;
Ben Slimane et al (2019);8;rescreen;;;
Bhattacharya & Sharma (2019);2;rescreen;;;
Boermans et al (2023);61;update;;;
Borsuk & Shrimali (2026);5;update;;;
Boubaker et al (2026);16;update;;;
Brinette et al (2026);12;update;;;
Caragnano et al (2020);5;rescreen;;;
Cicchini et al (2026);27;update;;;
D'Arcangelo et al (2025);59;update;;;
Dumrose & Höck (2023);31;update;;;
Duong et al (2025);35;update;;;
Ehlers et al (2021);22;update;;;
Erragragui (2018);4;rescreen;;;
Gonzales Sanches et al (2026);17;update;;;
Hansen & Marcet (2025);36;update;;;
Ho & Wong (2023);38;update;;;
Hu et al (2024);51;update;;;
Johnson (2020);3;rescreen;;;
Kim & Pouget (2026);33;update;;;
Kleimeier, Viehs (2021);29;rescreen;;;
Kozak (2021);21;rescreen;;;
Kumar & Firoz (2018);6;rescreen;;;
Li & Qiu (2026);62;update;;;
Lin et al (2025);41;update;;;
Liu et al (2023);10;update;;;
Luo et al (2019);10;rescreen;;;
Ma et al (2022);14;update;;;
Mahmoudian et al (2023);8;update;;;
Nasih et al (2024);5;update;;;
Ng & Rezaee (2012);7;rescreen;;;
Okimoto & Takaoka (2024);32;update;;;
Ould Daoud Ellili (2020);4;rescreen;;;
Owolabi et al (2024);6;update;;;
Panjwani et al (2023);170;update;;;
Piechocka-Kałużna et al (2021);20;rescreen;;;
Pizzutilo et al (2020);20;rescreen;;;
Polbennikov et al (2016);4;rescreen;;;
Ratajczak & Mikolajewicz (2021);6;rescreen;;;
Ririmasse et al (2026);18;update;;;
Safiullah et al (2025);56;update;;;
Shi et al (2025);15;update;;;
Tan et al (2026);25;update;;;
Tang et al (2023);13;update;;;
Trinh et al (2024);104;update;;;
Wang & Wijethilake (2026);8;update;;;
Wang et al (2025a);24;update;;;
Wang et al (2025b);16;update;;;
Wu et al (2020);12;rescreen;;;
Xiang & Gong (2026);12;update;;;
Yang et al (2024);24;update;;;
Zhang et al (2023);166;update;;;
Zheng (2021);20;rescreen;;;
Zhou et al (2024);32;update;;;
