"quantity","k_pre","k_post","st_pre","st_post","cl_pre","cl_post","df_paris_design","value","n","share"
"pp_mid","1994","711","83","31","82","31","31.8989454665411",,,
"pp_median","2073","632","88","26","87","26","13.502385425191",,,
"end_lag0","611","2094","27","86","27","85","16.2420514318184",,,
"end_lag1","835","1870","39","75","39","74","30.0464187782259",,,
"end_lag2","958","1747","50","64","50","63","33.1144615625939",,,
"end_lag3","1292","1413","63","51","63","50","45.05678854985",,,
"share_lag1_bin","2082","623","91","23","90","23","13.000609878841",,,
"share_lag2_bin","2199","506","98","15","97","15","7.88045009611169",,,
"share_lag3_bin","2382","323","100","13","99","13","8.60346662799601",,,
"clean_window","611","318","27","13","27","13","12.3066159553991",,,
"clean_window_upgrade_df_ge_5",,,,,,,,"TRUE",,
"split_selmodels_upgrade_poststudies_ge_20",,,,,,,,"TRUE",,
"postcell_region_1_US",,,,,,,,,"1","0.00140646976090014"
"postcell_region_2_Europe",,,,,,,,,"189","0.265822784810127"
"postcell_region_3_AsiaPac",,,,,,,,,"177","0.248945147679325"
"postcell_region_99_NCE",,,,,,,,,"344","0.483825597749648"
"postcell_CER_performance",,,,,,,,,"556","0.781997187060478"
"postcell_CER_disclosure",,,,,,,,,"155","0.218002812939522"
"postcell_dom_Panjwani et al (2023)",,,,,,,,,"170","0.239099859353024"
"postcell_dom_Altavilla et al (2024)",,,,,,,,,"82","0.115330520393812"
"postcell_dom_Boermans et al (2023)",,,,,,,,,"61","0.0857946554149086"
"postcell_dom_Ho & Wong (2023)",,,,,,,,,"38","0.0534458509142053"
"postcell_dom_Ferriani (2022)",,,,,,,,,"30","0.0421940928270042"
"postcell_dom_Lin et al (2025)",,,,,,,,,"29","0.0407876230661041"
"postcell_dom_Tan et al (2026)",,,,,,,,,"25","0.0351617440225035"
"postcell_dom_Wang et al (2025a)",,,,,,,,,"24","0.0337552742616034"
"postcell_dom_Kozak (2021)",,,,,,,,,"21","0.029535864978903"
"postcell_dom_Cicchini et al (2026)",,,,,,,,,"20","0.0281293952180028"
"postcell_dom_Ririmasse et al (2026)",,,,,,,,,"18","0.0253164556962025"
"postcell_dom_Gonzales Sanches et al (2026)",,,,,,,,,"17","0.0239099859353024"
"postcell_dom_Almutairi (2026)",,,,,,,,,"16","0.0225035161744023"
"postcell_dom_Boubaker et al (2026)",,,,,,,,,"16","0.0225035161744023"
"postcell_dom_Wang et al (2025b)",,,,,,,,,"16","0.0225035161744023"
"postcell_dom_Shi et al (2025)",,,,,,,,,"15","0.0210970464135021"
"postcell_dom_Tang et al (2023)",,,,,,,,,"13","0.0182841068917018"
"postcell_dom_Temiz (2022)",,,,,,,,,"13","0.0182841068917018"
"postcell_dom_Brinette et al (2026)",,,,,,,,,"12","0.0168776371308017"
"postcell_dom_Xiang & Gong (2026)",,,,,,,,,"12","0.0168776371308017"
"postcell_dom_Liu et al (2023)",,,,,,,,,"10","0.0140646976090014"
"postcell_dom_Ali et al (2026)",,,,,,,,,"9","0.0126582278481013"
"postcell_dom_Wang & Wijethilake (2026)",,,,,,,,,"8","0.0112517580872011"
"postcell_dom_Owolabi et al (2024)",,,,,,,,,"6","0.00843881856540084"
"postcell_dom_Ratajczak & Mikolajewicz (2021)",,,,,,,,,"6","0.00843881856540084"
"postcell_dom_Tan et al (2021)",,,,,,,,,"6","0.00843881856540084"
"postcell_dom_Kordschia (2020)",,,,,,,,,"5","0.0070323488045007"
"postcell_dom_Li et al (2022)",,,,,,,,,"5","0.0070323488045007"
"postcell_dom_Nasih et al (2024)",,,,,,,,,"5","0.0070323488045007"
"postcell_dom_Du et al (2022)",,,,,,,,,"2","0.00281293952180028"
"postcell_dom_Wang et al (2022a)",,,,,,,,,"1","0.00140646976090014"
"n15_within_study_set",,,,,,,,"Li et al (2022)",,
